linking,degree
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
7,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
7,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
7,8
8,8
7,8
8,8
7,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
6,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
5,8
8,8
8,8
8,8
7,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
6,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
7,8
8,8
8,8
6,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
6,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
7,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
6,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
7,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
6,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
7,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
7,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
8,8
8,8
7,8
8,8
8,8
7,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,8
8,8
7,8
8,8
8,8
7,8
8,8
8,8
7,8
8,8
7,8
8,8
8,8
8,8
