linking,degree
8,8
8,8
8,8
8,8
8,8
7,7
7,7
7,7
8,8
7,7
7,7
6,7
5,5
5,7
7,8
7,8
7,7
7,8
8,8
6,8
8,8
6,6
8,8
8,8
8,8
7,7
8,8
7,7
8,8
8,8
5,5
8,8
8,8
7,7
8,8
7,7
8,8
7,7
7,7
6,6
8,8
8,8
8,8
6,6
6,6
8,8
8,8
7,7
8,8
8,8
8,8
7,8
8,8
9,9
7,7
7,7
7,7
8,8
7,7
7,7
7,7
5,5
7,7
8,8
7,8
7,7
8,8
9,9
8,8
8,8
6,6
9,9
9,9
9,9
7,7
9,9
7,7
8,8
8,8
5,5
8,8
9,9
7,7
9,9
7,7
8,8
7,7
7,7
6,6
9,9
9,9
9,9
6,6
6,6
8,8
9,9
7,7
9,9
8,8
8,8
8,8
8,8
8,8
7,7
7,7
7,7
8,8
7,7
7,7
7,7
5,5
7,7
8,8
8,8
7,7
8,8
8,8
8,8
8,8
6,6
8,8
8,8
8,8
7,7
8,8
7,7
8,8
8,8
5,5
8,8
8,8
7,7
8,8
7,7
8,8
7,7
7,7
6,6
8,8
8,8
8,8
6,6
6,6
8,8
8,8
7,7
8,8
7,8
7,8
6,8
8,8
7,8
7,7
7,7
7,7
8,8
7,7
7,7
7,7
5,5
7,7
8,8
8,8
7,7
8,8
8,8
8,8
8,8
6,6
8,8
8,8
8,8
7,7
8,8
7,7
8,8
8,8
5,5
8,8
8,8
7,7
8,8
7,7
8,8
7,7
7,7
6,6
8,8
8,8
8,8
6,6
6,6
7,8
7,8
7,7
8,8
7,8
7,8
7,8
8,8
8,8
7,7
7,7
7,7
8,8
7,7
7,7
7,7
5,5
7,7
8,8
8,8
7,7
8,8
8,8
8,8
8,8
6,6
8,8
8,8
8,8
7,7
8,8
7,7
8,8
8,8
5,5
8,8
8,8
7,7
8,8
7,7
8,8
7,7
7,7
6,6
8,8
8,8
8,8
6,6
6,6
7,8
8,8
7,7
8,8
7,8
9,9
8,8
8,8
8,8
6,7
7,7
7,7
7,8
7,7
7,7
7,7
5,5
7,7
8,8
8,8
7,7
8,8
9,9
8,8
8,8
6,6
9,9
9,9
9,9
7,7
9,9
7,7
8,8
8,8
5,5
8,8
9,9
7,7
9,9
7,7
8,8
7,7
7,7
6,6
9,9
9,9
9,9
6,6
6,6
8,8
9,9
7,7
9,9
4,7
6,7
6,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
5,5
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,6
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
5,5
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,6
7,7
7,7
7,7
6,6
6,6
6,7
7,7
5,7
7,7
7,7
7,7
5,7
7,7
7,7
7,7
5,7
6,7
7,7
7,7
7,7
7,7
5,5
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,6
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
5,5
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,6
7,7
7,7
7,7
6,6
6,6
7,7
7,7
6,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,7
7,7
7,7
7,7
7,7
6,7
5,5
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,6
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
5,5
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,6
7,7
7,7
7,7
6,6
6,6
7,7
7,7
7,7
7,7
8,8
8,8
8,8
8,8
8,8
8,8
6,7
7,7
7,7
7,7
7,7
7,7
5,5
7,7
8,8
8,8
7,7
8,8
8,8
8,8
8,8
6,6
8,8
8,8
8,8
7,7
8,8
7,7
8,8
8,8
5,5
8,8
8,8
7,7
8,8
7,7
8,8
7,7
7,7
6,6
8,8
8,8
8,8
6,6
6,6
8,8
8,8
7,7
8,8
7,7
7,7
7,7
7,7
7,7
7,7
6,7
6,7
5,7
7,7
6,7
6,7
5,5
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,6
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
5,5
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,6
7,7
7,7
7,7
6,6
6,6
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
5,5
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,6
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
5,5
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
6,6
7,7
7,7
7,7
6,6
6,6
7,7
7,7
7,7
7,7
7,7
7,7
6,7
6,7
6,7
7,7
5,7
6,7
