Source,Target,Type
1,2,undirected
1,3,undirected
1,4,undirected
1,6,undirected
1,8,undirected
1,11,undirected
1,13,undirected
1,16,undirected
1,17,undirected
1,20,undirected
1,22,undirected
1,24,undirected
1,31,undirected
1,37,undirected
1,38,undirected
1,44,undirected
1,45,undirected
1,49,undirected
1,51,undirected
1,53,undirected
1,57,undirected
1,63,undirected
1,68,undirected
1,72,undirected
1,76,undirected
1,77,undirected
1,84,undirected
1,86,undirected
1,90,undirected
1,104,undirected
1,119,undirected
1,121,undirected
1,132,undirected
1,134,undirected
1,137,undirected
1,141,undirected
1,157,undirected
1,161,undirected
1,173,undirected
1,178,undirected
1,184,undirected
1,186,undirected
1,192,undirected
1,199,undirected
2,3,undirected
2,4,undirected
2,8,undirected
2,12,undirected
2,20,undirected
2,21,undirected
2,22,undirected
2,29,undirected
2,30,undirected
2,34,undirected
2,36,undirected
2,49,undirected
2,53,undirected
2,63,undirected
2,66,undirected
2,108,undirected
2,120,undirected
2,150,undirected
3,4,undirected
3,6,undirected
3,12,undirected
3,15,undirected
3,17,undirected
3,19,undirected
3,22,undirected
3,23,undirected
3,26,undirected
3,29,undirected
3,30,undirected
3,62,undirected
3,88,undirected
3,89,undirected
3,98,undirected
3,105,undirected
3,109,undirected
3,124,undirected
3,126,undirected
3,127,undirected
3,142,undirected
3,150,undirected
3,156,undirected
3,177,undirected
3,190,undirected
4,6,undirected
4,7,undirected
4,8,undirected
4,9,undirected
4,14,undirected
4,17,undirected
4,26,undirected
4,33,undirected
4,40,undirected
4,43,undirected
4,49,undirected
4,65,undirected
4,67,undirected
4,71,undirected
4,73,undirected
4,81,undirected
4,87,undirected
4,89,undirected
4,98,undirected
4,151,undirected
4,159,undirected
4,160,undirected
4,164,undirected
4,171,undirected
4,172,undirected
4,175,undirected
4,179,undirected
4,185,undirected
4,190,undirected
4,196,undirected
4,198,undirected
4,200,undirected
5,6,undirected
5,10,undirected
5,20,undirected
5,48,undirected
5,139,undirected
6,7,undirected
6,25,undirected
6,30,undirected
6,69,undirected
6,101,undirected
6,105,undirected
6,113,undirected
6,169,undirected
7,85,undirected
7,133,undirected
7,139,undirected
7,140,undirected
7,154,undirected
8,37,undirected
8,58,undirected
8,70,undirected
8,73,undirected
8,86,undirected
8,90,undirected
8,117,undirected
8,121,undirected
8,131,undirected
8,138,undirected
8,147,undirected
8,148,undirected
8,151,undirected
8,156,undirected
8,175,undirected
8,195,undirected
8,197,undirected
9,31,undirected
10,21,undirected
10,37,undirected
10,48,undirected
10,60,undirected
10,127,undirected
10,130,undirected
10,140,undirected
10,158,undirected
10,165,undirected
10,184,undirected
11,38,undirected
11,57,undirected
11,95,undirected
11,143,undirected
11,165,undirected
11,167,undirected
13,16,undirected
13,83,undirected
13,138,undirected
13,161,undirected
14,32,undirected
14,35,undirected
14,62,undirected
14,113,undirected
15,22,undirected
15,40,undirected
15,42,undirected
15,61,undirected
15,63,undirected
15,85,undirected
15,91,undirected
15,93,undirected
15,121,undirected
15,191,undirected
16,52,undirected
16,90,undirected
16,111,undirected
16,145,undirected
16,194,undirected
17,21,undirected
17,50,undirected
17,71,undirected
17,82,undirected
17,96,undirected
17,112,undirected
18,38,undirected
18,50,undirected
18,94,undirected
18,98,undirected
18,101,undirected
18,140,undirected
18,180,undirected
19,62,undirected
19,114,undirected
19,125,undirected
20,34,undirected
20,45,undirected
20,67,undirected
20,76,undirected
20,77,undirected
20,91,undirected
20,104,undirected
20,118,undirected
20,128,undirected
20,199,undirected
21,101,undirected
