Source,Target,Type
1,2,undirected
1,3,undirected
1,5,undirected
1,8,undirected
1,19,undirected
1,20,undirected
1,21,undirected
2,3,undirected
2,4,undirected
2,5,undirected
2,7,undirected
2,10,undirected
2,13,undirected
2,14,undirected
2,17,undirected
2,18,undirected
2,19,undirected
2,20,undirected
2,21,undirected
2,24,undirected
2,25,undirected
2,26,undirected
2,42,undirected
2,45,undirected
2,47,undirected
2,49,undirected
3,5,undirected
3,6,undirected
3,7,undirected
3,24,undirected
3,29,undirected
4,6,undirected
4,15,undirected
4,17,undirected
4,19,undirected
4,30,undirected
4,32,undirected
5,7,undirected
5,13,undirected
5,21,undirected
5,29,undirected
5,31,undirected
5,36,undirected
5,39,undirected
5,42,undirected
5,50,undirected
6,7,undirected
6,10,undirected
6,13,undirected
6,18,undirected
6,23,undirected
6,34,undirected
6,35,undirected
6,43,undirected
6,47,undirected
7,21,undirected
7,24,undirected
7,26,undirected
7,28,undirected
7,32,undirected
7,37,undirected
7,40,undirected
7,41,undirected
7,48,undirected
8,30,undirected
9,19,undirected
9,25,undirected
9,46,undirected
11,35,undirected
11,44,undirected
11,49,undirected
12,14,undirected
12,16,undirected
12,39,undirected
12,45,undirected
12,50,undirected
13,17,undirected
14,15,undirected
14,37,undirected
15,22,undirected
15,38,undirected
16,43,undirected
16,44,undirected
17,28,undirected
17,32,undirected
17,40,undirected
19,36,undirected
19,38,undirected
20,27,undirected
21,32,undirected
21,33,undirected
22,33,undirected
23,31,undirected
24,41,undirected
27,34,undirected
28,31,undirected
46,48,undirected
