Source,Target,Type,Id,Label,Weight
1,2,Undirected,1,1,1
1,3,Undirected,2,2,1
1,6,Undirected,3,3,1
1,10,Undirected,4,4,1
1,14,Undirected,5,5,1
1,16,Undirected,6,6,1
1,20,Undirected,7,7,1
1,46,Undirected,8,8,1
1,273,Undirected,9,9,1
2,1,Undirected,10,10,1
2,3,Undirected,11,11,1
2,6,Undirected,12,12,1
2,14,Undirected,13,13,1
2,16,Undirected,14,14,1
2,18,Undirected,15,15,1
2,23,Undirected,16,16,1
2,37,Undirected,17,17,1
2,41,Undirected,18,18,1
2,273,Undirected,19,19,1
3,1,Undirected,20,20,1
3,2,Undirected,21,21,1
3,4,Undirected,22,22,1
3,6,Undirected,23,23,1
3,10,Undirected,24,24,1
3,27,Undirected,25,25,1
3,45,Undirected,26,26,1
3,290,Undirected,27,27,1
4,3,Undirected,28,28,1
4,5,Undirected,29,29,1
4,13,Undirected,30,30,1
4,34,Undirected,31,31,1
4,39,Undirected,32,32,1
4,40,Undirected,33,33,1
4,47,Undirected,34,34,1
4,113,Undirected,35,35,1
4,535,Undirected,36,36,1
4,554,Undirected,37,37,1
4,555,Undirected,38,38,1
5,4,Undirected,39,39,1
5,85,Undirected,40,40,1
5,799,Undirected,41,41,1
6,1,Undirected,42,42,1
6,2,Undirected,43,43,1
6,3,Undirected,44,44,1
6,7,Undirected,45,45,1
6,10,Undirected,46,46,1
6,21,Undirected,47,47,1
6,24,Undirected,48,48,1
6,31,Undirected,49,49,1
6,37,Undirected,50,50,1
6,43,Undirected,51,51,1
6,46,Undirected,52,52,1
6,51,Undirected,53,53,1
7,6,Undirected,54,54,1
7,8,Undirected,55,55,1
7,49,Undirected,56,56,1
7,136,Undirected,57,57,1
7,548,Undirected,58,58,1
8,7,Undirected,59,59,1
8,9,Undirected,60,60,1
8,288,Undirected,61,61,1
8,289,Undirected,62,62,1
8,572,Undirected,63,63,1
8,705,Undirected,64,64,1
9,8,Undirected,65,65,1
9,52,Undirected,66,66,1
9,263,Undirected,67,67,1
9,264,Undirected,68,68,1
9,285,Undirected,69,69,1
9,560,Undirected,70,70,1
9,992,Undirected,71,71,1
10,1,Undirected,72,72,1
10,3,Undirected,73,73,1
10,6,Undirected,74,74,1
10,11,Undirected,75,75,1
10,29,Undirected,76,76,1
10,43,Undirected,77,77,1
10,119,Undirected,78,78,1
10,124,Undirected,79,79,1
10,134,Undirected,80,80,1
10,144,Undirected,81,81,1
10,180,Undirected,82,82,1
10,293,Undirected,83,83,1
10,420,Undirected,84,84,1
10,421,Undirected,85,85,1
10,482,Undirected,86,86,1
11,10,Undirected,87,87,1
11,12,Undirected,88,88,1
12,11,Undirected,89,89,1
12,46,Undirected,90,90,1
12,160,Undirected,91,91,1
12,1089,Undirected,92,92,1
13,4,Undirected,93,93,1
13,127,Undirected,94,94,1
14,1,Undirected,95,95,1
14,2,Undirected,96,96,1
14,15,Undirected,97,97,1
14,48,Undirected,98,98,1
14,49,Undirected,99,99,1
14,51,Undirected,100,100,1
14,299,Undirected,101,101,1
15,14,Undirected,102,102,1
15,16,Undirected,103,103,1
15,26,Undirected,104,104,1
15,185,Undirected,105,105,1
16,1,Undirected,106,106,1
16,2,Undirected,107,107,1
16,15,Undirected,108,108,1
16,17,Undirected,109,109,1
16,20,Undirected,110,110,1
16,53,Undirected,111,111,1
16,158,Undirected,112,112,1
16,321,Undirected,113,113,1
16,786,Undirected,114,114,1
17,16,Undirected,115,115,1
17,157,Undirected,116,116,1
17,158,Undirected,117,117,1
17,713,Undirected,118,118,1
18,2,Undirected,119,119,1
18,19,Undirected,120,120,1
18,20,Undirected,121,121,1
18,27,Undirected,122,122,1
18,33,Undirected,123,123,1
18,188,Undirected,124,124,1
19,18,Undirected,125,125,1
19,22,Undirected,126,126,1
19,487,Undirected,127,127,1
19,616,Undirected,128,128,1
19,810,Undirected,129,129,1
19,898,Undirected,130,130,1
19,984,Undirected,131,131,1
20,1,Undirected,132,132,1
20,16,Undirected,133,133,1
20,18,Undirected,134,134,1
20,68,Undirected,135,135,1
20,77,Undirected,136,136,1
20,78,Undirected,137,137,1
20,79,Undirected,138,138,1
20,122,Undirected,139,139,1
20,151,Undirected,140,140,1
20,710,Undirected,141,141,1
21,6,Undirected,142,142,1
21,22,Undirected,143,143,1
21,35,Undirected,144,144,1
21,895,Undirected,145,145,1
21,896,Undirected,146,146,1
22,19,Undirected,147,147,1
22,21,Undirected,148,148,1
22,23,Undirected,149,149,1
22,289,Undirected,150,150,1
22,435,Undirected,151,151,1
23,2,Undirected,152,152,1
23,22,Undirected,153,153,1
23,721,Undirected,154,154,1
23,785,Undirected,155,155,1
23,884,Undirected,156,156,1
23,895,Undirected,157,157,1
23,1091,Undirected,158,158,1
24,6,Undirected,159,159,1
24,25,Undirected,160,160,1
24,49,Undirected,161,161,1
24,50,Undirected,162,162,1
24,81,Undirected,163,163,1
24,132,Undirected,164,164,1
24,156,Undirected,165,165,1
24,157,Undirected,166,166,1
24,158,Undirected,167,167,1
24,284,Undirected,168,168,1
24,299,Undirected,169,169,1
24,492,Undirected,170,170,1
24,544,Undirected,171,171,1
24,1214,Undirected,172,172,1
25,24,Undirected,173,173,1
25,26,Undirected,174,174,1
25,30,Undirected,175,175,1
25,529,Undirected,176,176,1
25,530,Undirected,177,177,1
26,15,Undirected,178,178,1
26,25,Undirected,179,179,1
26,94,Undirected,180,180,1
26,157,Undirected,181,181,1
