Source,Target,Type,Id,Label,Weight
1,2,Undirected,1,1,1
2,1,Undirected,2,2,1
2,3,Undirected,3,3,1
2,17,Undirected,4,4,1
3,2,Undirected,5,5,1
3,4,Undirected,6,6,1
4,3,Undirected,7,7,1
4,5,Undirected,8,8,1
4,855,Undirected,9,9,1
5,4,Undirected,10,10,1
6,7,Undirected,11,11,1
6,880,Undirected,12,12,1
7,6,Undirected,13,13,1
7,8,Undirected,14,14,1
7,22,Undirected,15,15,1
7,23,Undirected,16,16,1
7,411,Undirected,17,17,1
7,453,Undirected,18,18,1
7,454,Undirected,19,19,1
7,889,Undirected,20,20,1
8,7,Undirected,21,21,1
8,9,Undirected,22,22,1
8,479,Undirected,23,23,1
8,480,Undirected,24,24,1
8,561,Undirected,25,25,1
9,8,Undirected,26,26,1
9,10,Undirected,27,27,1
9,537,Undirected,28,28,1
9,561,Undirected,29,29,1
9,1074,Undirected,30,30,1
10,9,Undirected,31,31,1
10,11,Undirected,32,32,1
10,536,Undirected,33,33,1
10,561,Undirected,34,34,1
11,10,Undirected,35,35,1
11,12,Undirected,36,36,1
11,560,Undirected,37,37,1
12,11,Undirected,38,38,1
12,13,Undirected,39,39,1
12,27,Undirected,40,40,1
12,30,Undirected,41,41,1
12,559,Undirected,42,42,1
13,12,Undirected,43,43,1
13,14,Undirected,44,44,1
13,596,Undirected,45,45,1
13,1138,Undirected,46,46,1
14,13,Undirected,47,47,1
14,34,Undirected,48,48,1
15,16,Undirected,49,49,1
16,15,Undirected,50,50,1
16,17,Undirected,51,51,1
17,2,Undirected,52,52,1
17,16,Undirected,53,53,1
17,18,Undirected,54,54,1
18,17,Undirected,55,55,1
18,19,Undirected,56,56,1
18,823,Undirected,57,57,1
19,18,Undirected,58,58,1
19,20,Undirected,59,59,1
19,388,Undirected,60,60,1
19,389,Undirected,61,61,1
19,627,Undirected,62,62,1
20,19,Undirected,63,63,1
20,21,Undirected,64,64,1
21,20,Undirected,65,65,1
22,7,Undirected,66,66,1
22,409,Undirected,67,67,1
22,885,Undirected,68,68,1
23,7,Undirected,69,69,1
23,24,Undirected,70,70,1
23,537,Undirected,71,71,1
23,538,Undirected,72,72,1
23,1078,Undirected,73,73,1
23,1109,Undirected,74,74,1
24,23,Undirected,75,75,1
24,25,Undirected,76,76,1
24,1110,Undirected,77,77,1
25,24,Undirected,78,78,1
25,26,Undirected,79,79,1
26,25,Undirected,80,80,1
26,27,Undirected,81,81,1
27,12,Undirected,82,82,1
27,26,Undirected,83,83,1
27,28,Undirected,84,84,1
27,561,Undirected,85,85,1
28,27,Undirected,86,86,1
28,29,Undirected,87,87,1
29,28,Undirected,88,88,1
29,30,Undirected,89,89,1
30,12,Undirected,90,90,1
30,29,Undirected,91,91,1
30,31,Undirected,92,92,1
31,30,Undirected,93,93,1
31,32,Undirected,94,94,1
32,31,Undirected,95,95,1
32,33,Undirected,96,96,1
33,32,Undirected,97,97,1
33,34,Undirected,98,98,1
34,14,Undirected,99,99,1
34,33,Undirected,100,100,1
34,1159,Undirected,101,101,1
35,36,Undirected,102,102,1
35,392,Undirected,103,103,1
36,35,Undirected,104,104,1
36,37,Undirected,105,105,1
36,631,Undirected,106,106,1
37,36,Undirected,107,107,1
37,38,Undirected,108,108,1
37,628,Undirected,109,109,1
37,863,Undirected,110,110,1
37,1011,Undirected,111,111,1
38,37,Undirected,112,112,1
38,39,Undirected,113,113,1
39,38,Undirected,114,114,1
39,40,Undirected,115,115,1
39,412,Undirected,116,116,1
39,413,Undirected,117,117,1
39,628,Undirected,118,118,1
39,875,Undirected,119,119,1
39,876,Undirected,120,120,1
39,881,Undirected,121,121,1
40,39,Undirected,122,122,1
40,41,Undirected,123,123,1
41,40,Undirected,124,124,1
41,42,Undirected,125,125,1
42,41,Undirected,126,126,1
42,43,Undirected,127,127,1
42,876,Undirected,128,128,1
42,881,Undirected,129,129,1
42,882,Undirected,130,130,1
43,42,Undirected,131,131,1
43,44,Undirected,132,132,1
