Id,Label,size
1,1,0.039643
2,2,0.048044
3,3,0.026759
4,4,0.056816
5,5,0.051217
6,6,0.063615
7,7,0.041692
8,8,0.041692
9,9,0.063893
10,10,0.111437
11,11,0.060800
12,12,0.310395
13,13,0.202290
14,14,0.088341
15,15,0.047305
16,16,0.094987
17,17,0.067707
18,18,0.104763
19,19,0.106427
20,20,0.057829
21,21,0.106427
22,22,0.033240
23,23,0.054866
24,24,0.057829
25,25,0.053772
26,26,0.021763
27,27,0.048685
28,28,0.035497
29,29,0.044843
30,30,0.032199
31,31,0.038271
32,32,0.122929
33,33,0.074522
34,34,0.122929
35,35,0.066860
36,36,0.134059
37,37,0.134059
38,38,0.091160
39,39,0.107993
40,40,0.091471
41,41,0.074459
42,42,0.082024
43,43,0.061609
44,44,0.094721
45,45,0.039863
46,46,0.123972
47,47,0.084157
48,48,0.162386
49,49,0.062396
50,50,0.032730
51,51,0.072120
52,52,0.038122
53,53,0.058656
54,54,0.088154
55,55,0.033539
56,56,0.088861
57,57,0.060830
58,58,0.088776
59,59,0.042673
60,60,0.043604
61,61,0.034276
62,62,0.080212
63,63,0.180538
64,64,0.150073
65,65,0.189795
66,66,0.047895
67,67,0.024840
68,68,0.160389
69,69,0.048065
70,70,0.037808
71,71,0.028893
72,72,0.082198
73,73,0.066792
74,74,0.071357
75,75,0.069560
76,76,0.062950
77,77,0.050940
78,78,0.080869
79,79,0.043046
80,80,0.024702
81,81,0.068097
82,82,0.028464
83,83,0.019027
84,84,0.033000
85,85,0.041315
86,86,0.054598
87,87,0.054598
88,88,0.054598
89,89,0.032110
90,90,0.034580
91,91,0.076947
92,92,0.060494
93,93,0.042753
94,94,0.035999
95,95,0.071670
96,96,0.059849
97,97,0.054985
98,98,0.049054
99,99,0.052413
100,100,0.059432
101,101,0.061269
102,102,0.061269
103,103,0.037227
104,104,0.027458
105,105,0.033588
106,106,0.064127
107,107,0.055489
108,108,0.076302
109,109,0.039964
110,110,0.020600
111,111,0.065059
112,112,0.077698
113,113,0.075425
114,114,0.075951
115,115,0.071675
116,116,0.093384
117,117,0.128495
118,118,0.123563
119,119,0.082852
120,120,0.104410
121,121,0.060435
122,122,0.071148
123,123,0.071148
124,124,0.093339
125,125,0.042187
126,126,0.031249
127,127,0.024957
128,128,0.075050
129,129,0.063714
130,130,0.040748
131,131,0.040241
132,132,0.106427
133,133,0.053797
134,134,0.028029
135,135,0.053797
136,136,0.053797
137,137,0.036998
138,138,0.046366
139,139,0.024018
140,140,0.045369
141,141,0.034099
142,142,0.021899
143,143,0.024018
144,144,0.030065
145,145,0.020229
146,146,0.126767
147,147,0.099731
148,148,0.123238
149,149,0.064455
150,150,0.065076
151,151,0.049545
152,152,0.070816
153,153,0.050313
154,154,0.047895
155,155,0.070218
156,156,0.052579
157,157,0.112335
158,158,0.093286
159,159,0.043628
160,160,0.048852
161,161,0.096503
162,162,0.063954
163,163,0.037633
164,164,0.046556
165,165,0.039875
166,166,0.039759
167,167,0.093224
168,168,0.051518
169,169,0.034899
170,170,0.043987
171,171,0.082852
172,172,0.147387
173,173,0.088341
174,174,0.061899
175,175,0.074339
176,176,0.052883
177,177,0.039291
178,178,0.061431
179,179,0.029286
180,180,0.022547
181,181,0.120688
182,182,0.108279
183,183,0.088484
184,184,0.038268
185,185,0.043858
186,186,0.039623
187,187,0.027121
188,188,0.083259
189,189,0.055385
190,190,0.055703
191,191,0.071923
192,192,0.037538
193,193,0.095734
194,194,0.028680
195,195,0.044920
196,196,0.051632
197,197,0.023583
198,198,0.020153
199,199,0.017686
200,200,0.070513
201,201,0.089925
202,202,0.031543
203,203,0.035007
204,204,0.076996
205,205,0.040858
206,206,0.045554
207,207,0.045554
208,208,0.020362
209,209,0.123269
210,210,0.067913
211,211,0.048235
212,212,0.060664
213,213,0.043620
214,214,0.043620
215,215,0.043620
216,216,0.043620
217,217,0.027634
218,218,0.063865
219,219,0.048112
220,220,0.093949
221,221,0.068161
222,222,0.064747
223,223,0.104725
224,224,0.121244
225,225,0.087641
226,226,0.025375
227,227,0.036745
228,228,0.038081
229,229,0.044002
230,230,0.066193
231,231,0.110170
232,232,0.058828
233,233,0.071075
234,234,0.076801
235,235,0.066947
236,236,0.055208
237,237,0.100878
238,238,0.175239
239,239,0.109135
240,240,0.069909
241,241,0.062534
242,242,0.075426
243,243,0.096426
244,244,0.058191
245,245,0.040904
246,246,0.107039
247,247,0.033058
248,248,0.052744
249,249,0.052744
250,250,0.041400
251,251,0.032419
252,252,0.107592
253,253,0.111642
254,254,0.098141
255,255,0.052969
256,256,0.148030
257,257,0.148030
258,258,0.148030
259,259,0.093230
260,260,0.081051
261,261,0.127383
262,262,0.121211
263,263,0.109838
264,264,0.208022
265,265,0.163575
266,266,0.119094
267,267,0.120428
268,268,0.123678
269,269,0.060210
270,270,0.050047
271,271,0.046893
272,272,0.110446
273,273,0.054938
274,274,0.037125
275,275,0.079953
276,276,0.068051
277,277,0.026785
278,278,0.063622
279,279,0.033128
280,280,0.066139
281,281,0.046400
282,282,0.071164
283,283,0.032199
284,284,0.086761
285,285,0.086761
286,286,0.076040
287,287,0.054453
288,288,0.088620
289,289,0.066850
290,290,0.060783
291,291,0.081809
292,292,0.059940
293,293,0.064827
294,294,0.123359
295,295,0.067968
296,296,0.045874
297,297,0.050935
298,298,0.038473
299,299,0.079055
300,300,0.070209
301,301,0.080190
302,302,0.147580
303,303,0.082974
304,304,0.047385
305,305,0.047953
306,306,0.037311
307,307,0.073451
308,308,0.047774
309,309,0.056508
310,310,0.069234
311,311,0.081539
312,312,0.084057
313,313,0.118038
314,314,0.100047
315,315,0.042235
316,316,0.078779
317,317,0.093104
318,318,0.050697
319,319,0.046595
320,320,0.038202
321,321,0.071169
322,322,0.027643
323,323,0.031228
324,324,0.156050
325,325,0.088368
326,326,0.064451
327,327,0.082098
328,328,0.076310
329,329,0.040758
330,330,0.032937
331,331,0.054289
332,332,0.080801
333,333,0.076769
334,334,0.090223
335,335,0.108838
336,336,0.125976
337,337,0.144134
338,338,0.085294
339,339,0.119217
340,340,0.085099
341,341,0.079141
342,342,0.079141
343,343,0.090363
344,344,0.075471
345,345,0.067342
346,346,0.140341
347,347,0.140341
348,348,0.217994
349,349,0.130301
350,350,0.139592
351,351,0.116285
352,352,0.063698
353,353,0.093380
354,354,0.040341
355,355,0.100531
356,356,0.054364
357,357,0.100531
358,358,0.093482
359,359,0.163972
360,360,0.100531
361,361,0.100531
362,362,0.084587
363,363,0.117288
364,364,0.199481
365,365,0.081954
366,366,0.066659
367,367,0.061318
368,368,0.058923
369,369,0.047291
370,370,0.061737
371,371,0.062705
372,372,0.061431
373,373,0.053253
374,374,0.028694
375,375,0.108361
376,376,0.058973
377,377,0.042009
378,378,0.063688
379,379,0.121070
380,380,0.066581
381,381,0.072749
382,382,0.297962
383,383,0.191855
384,384,0.134688
385,385,0.109901
386,386,0.058248
387,387,0.114628
388,388,0.049585
389,389,0.092304
390,390,0.070668
391,391,0.217994
392,392,0.096810
393,393,0.064897
394,394,0.169069
395,395,0.150043
396,396,0.042775
397,397,0.111101
398,398,0.061770
399,399,0.044359
400,400,0.030101
401,401,0.091460
402,402,0.058196
403,403,0.150125
404,404,0.190461
405,405,0.116158
406,406,0.116158
407,407,0.129280
408,408,0.165301
409,409,0.264916
410,410,0.077465
411,411,0.084061
412,412,0.109990
413,413,0.074615
414,414,0.134209
415,415,0.113337
416,416,0.149297
417,417,0.149297
418,418,0.187126
419,419,0.118280
420,420,0.118280
421,421,0.113027
422,422,0.216563
423,423,0.118164
424,424,0.127040
425,425,0.037839
426,426,0.028366
427,427,0.060653
428,428,0.054823
429,429,0.064149
430,430,0.058665
431,431,0.053275
432,432,0.022349
433,433,0.026651
434,434,0.030944
435,435,0.089629
436,436,0.089629
437,437,0.071136
438,438,0.067348
439,439,0.118231
440,440,0.064868
441,441,0.048608
442,442,0.068095
443,443,0.028453
444,444,0.083531
445,445,0.044557
446,446,0.032641
447,447,0.065161
448,448,0.066246
449,449,0.064374
450,450,0.031517
451,451,0.053228
452,452,0.031794
453,453,0.043531
454,454,0.024700
455,455,0.020988
456,456,0.084758
457,457,0.084095
458,458,0.040626
459,459,0.035457
460,460,0.033397
461,461,0.047635
462,462,0.047635
463,463,0.047635
464,464,0.047635
465,465,0.028704
466,466,0.031839
467,467,0.029371
468,468,0.060188
469,469,0.060188
470,470,0.038712
471,471,0.042383
472,472,0.041760
473,473,0.114276
474,474,0.062494
475,475,0.062129
476,476,0.098759
477,477,0.115771
478,478,0.063389
479,479,0.057506
480,480,0.073174
481,481,0.032362
482,482,0.129032
483,483,0.094026
484,484,0.151187
485,485,0.048387
486,486,0.048013
487,487,0.090225
488,488,0.084506
489,489,0.066164
490,490,0.066281
491,491,0.070927
492,492,0.069340
493,493,0.125614
494,494,0.072256
495,495,0.089568
496,496,0.073263
497,497,0.080215
498,498,0.042675
499,499,0.045227
500,500,0.035155
501,501,0.084708
502,502,0.049787
503,503,0.066772
504,504,0.040208
505,505,0.040764
506,506,0.043865
507,507,0.110412
508,508,0.098221
509,509,0.089848
510,510,0.064579
511,511,0.113666
512,512,0.073023
513,513,0.079698
514,514,0.075203
515,515,0.043904
516,516,0.059905
517,517,0.158355
518,518,0.150395
519,519,0.202458
520,520,0.119352
521,521,0.089830
522,522,0.152249
523,523,0.091269
524,524,0.129394
525,525,0.135160
526,526,0.131629
527,527,0.069923
528,528,0.044867
529,529,0.046986
530,530,0.061889
531,531,0.066834
532,532,0.114636
533,533,0.062709
534,534,0.056786
535,535,0.041827
536,536,0.068110
537,537,0.055463
538,538,0.061914
539,539,0.077887
540,540,0.042982
541,541,0.079088
542,542,0.030797
543,543,0.079275
544,544,0.054859
545,545,0.092044
546,546,0.128088
547,547,0.080696
548,548,0.044309
549,549,0.032174
550,550,0.094212
551,551,0.078008
552,552,0.141402
553,553,0.041916
554,554,0.059483
555,555,0.022617
556,556,0.015704
557,557,0.021441
558,558,0.017509
559,559,0.015144
560,560,0.020272
561,561,0.028285
562,562,0.024867
563,563,0.022431
564,564,0.024605
565,565,0.024605
566,566,0.024605
567,567,0.029995
568,568,0.056644
569,569,0.029579
570,570,0.041942
571,571,0.018396
572,572,0.038408
573,573,0.085455
574,574,0.045653
575,575,0.085455
576,576,0.042728
577,577,0.043139
578,578,0.031968
579,579,0.060503
580,580,0.036559
581,581,0.050681
582,582,0.053711
583,583,0.038069
584,584,0.057350
585,585,0.074437
586,586,0.053711
587,587,0.074437
588,588,0.111519
589,589,0.118487
590,590,0.080779
591,591,0.201213
592,592,0.201213
593,593,0.144098
594,594,0.080779
595,595,0.065534
596,596,0.119338
597,597,0.119338
598,598,0.092437
599,599,0.080870
600,600,0.060109
601,601,0.029633
602,602,0.015153
603,603,0.131973
604,604,0.073235
605,605,0.077492
606,606,0.041137
607,607,0.077492
608,608,0.066385
609,609,0.083941
610,610,0.026040
611,611,0.019505
612,612,0.030572
613,613,0.027780
614,614,0.071675
615,615,0.071675
616,616,0.026985
617,617,0.101513
618,618,0.101513
619,619,0.045359
620,620,0.084938
621,621,0.068979
622,622,0.176197
623,623,0.176197
624,624,0.027647
625,625,0.043773
626,626,0.106656
627,627,0.103968
628,628,0.089639
629,629,0.183893
